,linkPoster,name,time,content,linkVideo,typeVideo,react_list,comment,Unnamed: 0.1,Unnamed: 0
0,https://www.facebook.com/groups/183960375505379/user/61568748038339/?__cft__[0]=AZVadRl43Tv953XZesQwUTkNJNEiwewNrFqwHpOrf-tdevFU2r2NFuPPztve9o8ovgNh4ehurM18YrQSF822DklrRnrF82nCQVw2Cn471qFgLmVAnApxkQm3AciKf8MUcGYYBbPmwoG_uugAKKqDrsl2El5_LZAm5X7QHpwhloJqWSw_pCAEdALRNgVwVyFLzmkAJQanlG0Rp1Emx06QtDU1&__cft__[1]=AZVadRl43Tv953XZesQwUTkNJNEiwewNrFqwHpOrf-tdevFU2r2NFuPPztve9o8ovgNh4ehurM18YrQSF822DklrRnrF82nCQVw2Cn471qFgLmVAnApxkQm3AciKf8MUcGYYBbPmwoG_uugAKKqDrsl2El5_LZAm5X7QHpwhloJqWSw_pCAEdALRNgVwVyFLzmkAJQanlG0Rp1Emx06QtDU1&__tn__=-]H-R,Fabrizio Romano Fco,21 Tháng 11,1 chút trải lòng…,https://www.facebook.com/reel/452185270872319/?group_id=183960375505379&s=group&__cft__[0]=AZVadRl43Tv953XZesQwUTkNJNEiwewNrFqwHpOrf-tdevFU2r2NFuPPztve9o8ovgNh4ehurM18YrQSF822DklrRnrF82nCQVw2Cn471qFgLmVAnApxkQm3AciKf8MUcGYYBbPmwoG_uugAKKqDrsl2El5_LZAm5X7QHpwhloJqWSw_pCAEdALRNgVwVyFLzmkAJQanlG0Rp1Emx06QtDU1&__tn__=H-R,Video ngắn,"{'Thích': '18', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '17', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Khanh Duy', 'content': 'đúng lão hoá ngược rồi'}, {'name': 'Nguyễn Thành', 'content': 'Chúng m chưa xong với t đâu'}, {'name': 'Nguyễn Văn Mạnh', 'content': 'Và chúng n vẫn bảo mọi người đợi chuyện còn dài :)))) dù có dài thì làm gì . Chẳng biết tabi sống sao nhưng kiểu quay lại nói người từng giúp mình để hạ bệ người từng giúp mình thì dù ng ta có mất hết thì cũng đéo nhận lại được gì đâu.'}, {'name': 'Thuậnn', 'content': 'Thuậnn Nguyễn Văn Mạnh t nói thật. Đ quan tâm trước đây tab7 bẩn như nào. Nhma chuyện nào ra chuyện đó. Trong drm này thg nào bênh tab7 mà bị lôi cá drm cũ ra để lấp liếm cho cái sai của tụi này hiện tại thì đúng kiểu anti bất chấp cmnl'}, {'name': 'Nguyễn Văn Mạnh', 'content': 'Nguyễn Văn Mạnh Thuậnn xem content giải trí thôi cái nào ra cái đấy. K có tài thì khó phát triển trong ngành này.'}, {'name': 'Thuậnn', 'content': 'Nguyễn Văn Mạnh toi bênh tab7 chửi thg lân đì chúng nó lôi drm cũ ra kể:)) xong bảo tab7 nguỵ quân tử đcm tự ỉa tự ăn vcb=))'}, {'name': 'Nguyễn Long', 'content': 'dm toàn mấy th ất ơ bú fame nó giờ có tý bắt đầu, trẻ ranh đã đành đằng này bó tizj cũng thế đến là ạ'}, {'name': 'Phát Đạt', 'content': 'Nguyễn Văn Mạnh còn bên tabi live thì fan nhắc tới vụ này , ổng kêu chuyện gì xong là xong , đừng nhắc đến anh em tôi , tizi và khoa là 2 ng anh em tôi , còn thằng già vs thằng non thì vậy :))))'}, {'name': 'Nguyễn Văn Mạnh', 'content': 'Nguyễn Văn Mạnh Phát Đạt xem content giải trí thôi chứ còn cứ nhai đi nhai lại nhiều quá thành nhảm. Nói chung muốn phát triển thì phải nâng tầm mình lên chứ có hạ ng khác xuống như bọn này thì cũng k thành công đc . Trc đây có qua xem thử mấy ông này nhưng k ngửi đc quá 15p.'}, {'name': 'Phát Đạt', 'content': 'Nguyễn Văn Mạnh thật , chuyện gì xong r thì cho xong đi , sai lè ra ở đó mà vẫn nhai đi nhai lại'}, {'name': 'Người tham gia ẩn danh 163', 'content': 'Nguyễn Văn Mạnh sub của KT cũng là tabi giúp đấy bạn ạ ẩn danh ở trên là t đấy, cũng biết qua bởi cái tính hài mà t k nghĩ lại nói như này'}, {'name': 'Nguyễn Văn Mạnh', 'content': 'Tự đá chén cơm thôi'}, {'name': 'Tiến Lê', 'content': 't dell thích tabi từ vụ drama trc nhma lần này tabi có sai đâu, thậm chí còn lờ mấy comment chửi ngũ hổ tướng trong live, nch cx ls vcl mà mỗi lần t bênh là bị chửi như chó'}, {'name': 'Phan Trần Vũ', 'content': 'Chưa xong khả năng ăn chửi tiếp'}, {'name': 'Minh Khoi', 'content': ''}]",,
1,https://www.facebook.com/groups/183960375505379/user/61568748038339/?__cft__[0]=AZVmNxv4v-pkiFg5j25oWx13gi2bIWfm2fdEM1v4DkP25aVCwj3oxTBKkE8P6y5nM5UoJyJiyxzUxP7SymkViFxaDgmiEY7nfpJDROSb0mhMg--x4km98CgnFwNdQwnvJoep9gEBOsod4F6faiZrSHNzArY2_IDT9r1UKcDqvMxxKdvbcAlo1NIjbPeI028QMHi_7cxUShs8cACztGOzrjKP&__cft__[1]=AZVmNxv4v-pkiFg5j25oWx13gi2bIWfm2fdEM1v4DkP25aVCwj3oxTBKkE8P6y5nM5UoJyJiyxzUxP7SymkViFxaDgmiEY7nfpJDROSb0mhMg--x4km98CgnFwNdQwnvJoep9gEBOsod4F6faiZrSHNzArY2_IDT9r1UKcDqvMxxKdvbcAlo1NIjbPeI028QMHi_7cxUShs8cACztGOzrjKP&__tn__=-]H-R,Fabrizio Romano Fco,21 Tháng 11,“Chúng mày cứ đợi đấy “,https://www.facebook.com/reel/1265792318104623/?group_id=183960375505379&s=group&__cft__[0]=AZVmNxv4v-pkiFg5j25oWx13gi2bIWfm2fdEM1v4DkP25aVCwj3oxTBKkE8P6y5nM5UoJyJiyxzUxP7SymkViFxaDgmiEY7nfpJDROSb0mhMg--x4km98CgnFwNdQwnvJoep9gEBOsod4F6faiZrSHNzArY2_IDT9r1UKcDqvMxxKdvbcAlo1NIjbPeI028QMHi_7cxUShs8cACztGOzrjKP&__tn__=H-R,Video ngắn,"{'Thích': '7', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '15', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,
2,https://www.facebook.com/groups/183960375505379/user/61568748038339/?__cft__[0]=AZWkN0G45HEBloSI95EkzWiWZbnH0QW24LG6TpfywJREoTKs9Q0BTwkMP1MTCCL02DP1Qy0DXsbPhOM8eUKWGkK7UsNGQTIad3Y_czwDMkpQZCvVPQb6gBPFw3iik_-8gdIe_zvYL3hNBrzLpvXnUYFn1Em7pwr3sQjpyQ8p6_z46M1fMY2aQ00dVu38FWxUndciZgFlSOpvZC-vn80Jn4el&__cft__[1]=AZWkN0G45HEBloSI95EkzWiWZbnH0QW24LG6TpfywJREoTKs9Q0BTwkMP1MTCCL02DP1Qy0DXsbPhOM8eUKWGkK7UsNGQTIad3Y_czwDMkpQZCvVPQb6gBPFw3iik_-8gdIe_zvYL3hNBrzLpvXnUYFn1Em7pwr3sQjpyQ8p6_z46M1fMY2aQ00dVu38FWxUndciZgFlSOpvZC-vn80Jn4el&__tn__=-]H-R,Fabrizio Romano Fco,20 Tháng 11,"Nhân ngày 20/11 xin tặng anh em sound nhạc ý nghĩa về người thầy, người cô ♥️",https://www.facebook.com/reel/1654818215096791/?group_id=183960375505379&s=group&__cft__[0]=AZWkN0G45HEBloSI95EkzWiWZbnH0QW24LG6TpfywJREoTKs9Q0BTwkMP1MTCCL02DP1Qy0DXsbPhOM8eUKWGkK7UsNGQTIad3Y_czwDMkpQZCvVPQb6gBPFw3iik_-8gdIe_zvYL3hNBrzLpvXnUYFn1Em7pwr3sQjpyQ8p6_z46M1fMY2aQ00dVu38FWxUndciZgFlSOpvZC-vn80Jn4el&__tn__=H-R,Video ngắn,"{'Thích': '32', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '15', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Lê Bùi Minh Công', 'content': ''}, {'name': 'Nguyen Anh', 'content': ''}]",,
